133,True,False,cres,lowgamma,30,0.153,1.0
134,True,False,cres,lowgamma,60,0.075,0.864
135,True,False,cres,lowgamma,120,0.301,0.85
136,True,False,cres,lowgamma,300,0.286,0.939
137,True,False,cres,highgamma,30,0.098,0.064
138,True,False,cres,highgamma,60,0.208,0.107
139,True,False,cres,highgamma,120,0.178,0.109
140,True,False,cres,highgamma,300,0.485,0.21
141,True,False,cres_only_after_EEC,broadband_CC,30,0.005,0.296
142,True,False,cres_only_after_EEC,broadband_CC,60,0.002,0.275
143,True,False,cres_only_after_EEC,broadband_CC,120,0.006,0.303
144,True,False,cres_only_after_EEC,broadband_CC,300,0.008,0.353
145,True,False,cres_only_after_EEC,alphatheta,30,0.011,0.367
146,True,False,cres_only_after_EEC,alphatheta,60,0.004,0.305
147,True,False,cres_only_after_EEC,alphatheta,120,0.005,0.333
148,True,False,cres_only_after_EEC,alphatheta,300,0.014,0.544
149,True,False,cres_only_after_EEC,beta,30,0.008,0.348
150,True,False,cres_only_after_EEC,beta,60,0.014,0.325
151,True,False,cres_only_after_EEC,beta,120,0.004,0.317
152,True,False,cres_only_after_EEC,beta,300,0.007,0.422
153,True,False,cres_only_after_EEC,lowgamma,30,0.081,0.564
154,True,False,cres_only_after_EEC,lowgamma,60,0.122,0.632
155,True,False,cres_only_after_EEC,lowgamma,120,0.05,0.537
156,True,False,cres_only_after_EEC,lowgamma,300,0.031,0.582
157,True,False,cres_only_after_EEC,highgamma,30,0.002,0.476
158,True,False,cres_only_after_EEC,highgamma,60,0.008,0.395
159,True,False,cres_only_after_EEC,highgamma,120,0.001,0.283
160,True,False,cres_only_after_EEC,highgamma,300,0.002,0.305
161,True,False,normalized_cres_ai_abs,broadband_CC,30,0.792,0.451
162,True,False,normalized_cres_ai_abs,broadband_CC,60,0.275,0.22
163,True,False,normalized_cres_ai_abs,broadband_CC,120,0.943,0.56
164,True,False,normalized_cres_ai_abs,broadband_CC,300,0.59,0.628
165,True,False,normalized_cres_ai_abs,alphatheta,30,0.481,0.621
166,True,False,normalized_cres_ai_abs,alphatheta,60,0.579,0.722
167,True,False,normalized_cres_ai_abs,alphatheta,120,0.345,0.596
168,True,False,normalized_cres_ai_abs,alphatheta,300,0.134,0.378
169,True,False,normalized_cres_ai_abs,beta,30,0.73,0.628
170,True,False,normalized_cres_ai_abs,beta,60,0.134,0.69
171,True,False,normalized_cres_ai_abs,beta,120,0.033,0.169
172,True,False,normalized_cres_ai_abs,beta,300,0.008,0.075
173,True,False,normalized_cres_ai_abs,lowgamma,30,0.052,0.695
174,True,False,normalized_cres_ai_abs,lowgamma,60,0.006,0.57
175,True,False,normalized_cres_ai_abs,lowgamma,120,0.002,0.443
176,True,False,normalized_cres_ai_abs,lowgamma,300,0.003,0.47
177,True,False,normalized_cres_ai_abs,highgamma,30,0.783,0.634
178,True,False,normalized_cres_ai_abs,highgamma,60,0.798,0.526
179,True,False,normalized_cres_ai_abs,highgamma,120,0.519,0.287
180,True,False,normalized_cres_ai_abs,highgamma,300,0.413,0.262
181,True,False,normalized_cres_ai_no_abs,broadband_CC,30,0.046,0.219
182,True,False,normalized_cres_ai_no_abs,broadband_CC,60,0.431,0.282
183,True,False,normalized_cres_ai_no_abs,broadband_CC,120,0.093,0.332
184,True,False,normalized_cres_ai_no_abs,broadband_CC,300,0.301,0.128
185,True,False,normalized_cres_ai_no_abs,alphatheta,30,0.635,0.304
186,True,False,normalized_cres_ai_no_abs,alphatheta,60,0.902,0.336
187,True,False,normalized_cres_ai_no_abs,alphatheta,120,0.13,0.27
188,True,False,normalized_cres_ai_no_abs,alphatheta,300,0.28,0.559
189,True,False,normalized_cres_ai_no_abs,beta,30,0.508,0.144
190,True,False,normalized_cres_ai_no_abs,beta,60,0.311,0.586
191,True,False,normalized_cres_ai_no_abs,beta,120,0.296,0.592
192,True,False,normalized_cres_ai_no_abs,beta,300,0.33,0.639
193,True,False,normalized_cres_ai_no_abs,lowgamma,30,0.859,0.708
194,True,False,normalized_cres_ai_no_abs,lowgamma,60,0.774,0.674
195,True,False,normalized_cres_ai_no_abs,lowgamma,120,0.04,0.988
196,True,False,normalized_cres_ai_no_abs,lowgamma,300,0.997,0.421
197,True,False,normalized_cres_ai_no_abs,highgamma,30,0.825,0.214
198,True,False,normalized_cres_ai_no_abs,highgamma,60,0.005,0.151
199,True,False,normalized_cres_ai_no_abs,highgamma,120,0.896,0.162
200,True,False,normalized_cres_ai_no_abs,highgamma,300,0.692,0.793
201,False,True,abs_cres,broadband_CC,30,0.285,0.3
202,False,True,abs_cres,broadband_CC,60,0.054,0.305
203,False,True,abs_cres,broadband_CC,120,0.172,0.321
204,False,True,abs_cres,broadband_CC,300,0.301,0.305
205,False,True,abs_cres,alphatheta,30,0.868,0.804
206,False,True,abs_cres,alphatheta,60,0.36,0.757
207,False,True,abs_cres,alphatheta,120,0.296,0.468
208,False,True,abs_cres,alphatheta,300,0.941,0.885
209,False,True,abs_cres,beta,30,0.312,0.063
210,False,True,abs_cres,beta,60,0.904,0.664
211,False,True,abs_cres,beta,120,0.936,0.812
212,False,True,abs_cres,beta,300,0.96,0.983
213,False,True,abs_cres,lowgamma,30,0.581,0.186
214,False,True,abs_cres,lowgamma,60,0.583,0.806
215,False,True,abs_cres,lowgamma,120,0.357,0.545
216,False,True,abs_cres,lowgamma,300,0.433,0.938
217,False,True,abs_cres,highgamma,30,0.724,0.555
218,False,True,abs_cres,highgamma,60,0.915,0.877
219,False,True,abs_cres,highgamma,120,0.824,0.965
220,False,True,abs_cres,highgamma,300,0.851,0.852
221,False,True,cres,broadband_CC,30,0.975,0.816
222,False,True,cres,broadband_CC,60,0.371,0.424
223,False,True,cres,broadband_CC,120,0.108,0.263
224,False,True,cres,broadband_CC,300,0.18,0.348
